Houses:
Rico Hufflepuff
Tamara Ravenclaw
Staci Gryffindor
Dee Hufflepuff
Gregory Hufflepuff
Katharine Slytherin
Elizebeth Ravenclaw
Santo Hufflepuff
Rosalyn Ravenclaw
Karen Hufflepuff
Mollie Hufflepuff
Filiberto Slytherin
Carmen Slytherin
Milford Slytherin
Nathanael Slytherin
Nilda Hufflepuff
Tasha Ravenclaw
Briana Slytherin
Belle Ravenclaw
Nathanael Hufflepuff
Devin Hufflepuff
Tami Slytherin
Brook Ravenclaw
Allan Ravenclaw
Colin Hufflepuff
Olin Hufflepuff
Freddy Ravenclaw
Kristal Slytherin
Magdalena Gryffindor
Lemuel Ravenclaw
Ariana Hufflepuff
Ben Hufflepuff
Paulette Gryffindor
Angeline Hufflepuff
Meagan Hufflepuff
Agustin Ravenclaw
Sherwood Gryffindor
Oma Ravenclaw
Summer Slytherin
Cathryn Ravenclaw
Suzanne Ravenclaw
Jeannine Slytherin
Felton Hufflepuff
Denise Slytherin
Eldon Hufflepuff
Natalia Ravenclaw
Mei Slytherin
Dorsey Gryffindor
Charla Ravenclaw
Augustus Slytherin
Dominic Ravenclaw
Rudolph Hufflepuff
Shirley Ravenclaw
Les Ravenclaw
Hong Hufflepuff
Normand Slytherin
Darrell Slytherin
Brandon Ravenclaw
Shannon Hufflepuff
Jeramy Gryffindor
Andrew Gryffindor
Ericka Gryffindor
Yesenia Hufflepuff
Deanna Hufflepuff
Bettye Ravenclaw
Melissa Hufflepuff
Elia Hufflepuff
Dewitt Ravenclaw
Kathy Hufflepuff
Taylor Ravenclaw
Benedict Slytherin
Birdie Slytherin
Wilford Gryffindor
Eleanor Ravenclaw
Chang Gryffindor
Elbert Hufflepuff
Keven Hufflepuff
Lynwood Gryffindor
Renaldo Ravenclaw
Myra Gryffindor
Chantal Ravenclaw
Luella Hufflepuff
Wilbur Slytherin
Manuela Gryffindor
Lupe Gryffindor
Earline Hufflepuff
Mohamed Hufflepuff
Danilo Hufflepuff
Alberta Ravenclaw
Bruce Ravenclaw
Andria Hufflepuff
Erwin Slytherin
Jerrold Gryffindor
Keven Hufflepuff
Otto Ravenclaw
Domingo Ravenclaw
Jon Gryffindor
Devin Slytherin
Dara Hufflepuff
Jonas Ravenclaw
Alec Hufflepuff
Noemi Hufflepuff
Philip Hufflepuff
Natalia Slytherin
Irwin Ravenclaw
Vernell Ravenclaw
Faye Hufflepuff
Damaris Slytherin
John Slytherin
Kermit Hufflepuff
Amanda Hufflepuff
Flossie Slytherin
Kathi Gryffindor
Herb Ravenclaw
Kermit Hufflepuff
Winford Ravenclaw
Booker Ravenclaw
Hattie Hufflepuff
Margaret Slytherin
Tamra Ravenclaw
Gavin Gryffindor
Roslyn Hufflepuff
Eleanor Gryffindor
Sally Gryffindor
Gerry Ravenclaw
Beatrice Ravenclaw
Darren Slytherin
Lyman Ravenclaw
Antonia Hufflepuff
Madeline Ravenclaw
Jodi Ravenclaw
Mickey Gryffindor
Walker Gryffindor
Darrick Slytherin
Earl Hufflepuff
Sabrina Ravenclaw
Brandie Ravenclaw
Mariano Slytherin
Robert Gryffindor
Julianna Hufflepuff
Janell Hufflepuff
Kelley Ravenclaw
Lee Gryffindor
Young Ravenclaw
Rebekah Gryffindor
Morton Ravenclaw
Wes Ravenclaw
Penelope Hufflepuff
Joni Hufflepuff
Buford Ravenclaw
Ivonne Hufflepuff
Winona Gryffindor
Leola Gryffindor
Judi Ravenclaw
Missy Ravenclaw
Cortez Gryffindor
Bobbi Hufflepuff
Jayme Slytherin
Carson Hufflepuff
Barbra Ravenclaw
Nikita Ravenclaw
Doreen Hufflepuff
Lashawn Hufflepuff
Hugh Hufflepuff
Ola Ravenclaw
Will Slytherin
Marc Hufflepuff
Angelica Hufflepuff
Nigel Hufflepuff
Davis Hufflepuff
Wilbur Gryffindor
Ahmed Hufflepuff
Britt Hufflepuff
Jeff Slytherin
Marcela Hufflepuff
Gayle Gryffindor
Jerrold Gryffindor
Faustino Hufflepuff
Yong Hufflepuff
Petra Slytherin
Stacey Ravenclaw
Austin Ravenclaw
Gena Gryffindor
Cruz Slytherin
Deena Gryffindor
Cathrine Gryffindor
Alberto Hufflepuff
Josef Ravenclaw
Vito Hufflepuff
Andrea Slytherin
Gonzalo Gryffindor
Linwood Hufflepuff
Whitney Gryffindor
Felix Ravenclaw
Harriette Ravenclaw
Venita Hufflepuff
Scott Ravenclaw
Vicente Hufflepuff
Rena Hufflepuff
Frances Gryffindor
Jason Gryffindor
Fabiola Hufflepuff
Santos Ravenclaw
Zachary Hufflepuff
Alvin Gryffindor
Xavier Slytherin
Damian Ravenclaw
Courtney Hufflepuff
Eddie Gryffindor
Horacio Ravenclaw
August Gryffindor
Dovie Hufflepuff
Lindsay Slytherin
Missy Ravenclaw
Eddie Slytherin
Brendan Slytherin
Ilene Hufflepuff
Jesse Hufflepuff
Brock Gryffindor
Earl Gryffindor
Theresa Gryffindor
Kellie Gryffindor
Alexis Hufflepuff
Beverley Hufflepuff
Jarrod Gryffindor
Sharyn Ravenclaw
Salvador Ravenclaw
Shannon Ravenclaw
Maria Hufflepuff
Denise Hufflepuff
Breanna Gryffindor
Gilberto Hufflepuff
Scott Slytherin
Rosanna Ravenclaw
Lindsay Hufflepuff
Lydia Hufflepuff
Enrique Hufflepuff
Quincy Slytherin
Rolf Gryffindor
Marion Gryffindor
Gene Hufflepuff
Burl Gryffindor
Milo Hufflepuff
Gregg Hufflepuff
Mimi Gryffindor
Brian Gryffindor
Cori Ravenclaw
Marcella Ravenclaw
Douglas Hufflepuff
Deangelo Hufflepuff
Ashley Slytherin
Agatha Slytherin
Omar Hufflepuff
Billy Hufflepuff
Claudette Ravenclaw
Juli Ravenclaw
